COMPRESSIONE CODEC 2022 E DATASET 2022 (NO RANDOM):

Dataset,Algoritmo,Rapporto compressione,Tempo compressione,Dimensione iniziale,Dimensione finale
ArtGallery2,HEVC,1.9435025565652568,20.48439359664917,89260099,45927441
ArtGallery2,VP9,1.645824903084327,33.541799545288086,89260099,54234262
ArtGallery2,AV1,1.7725073532364148,1791.3449401855469,89260099,50358098
ArtGallery2,FFV1,1.3658489332358297,1.9616854190826416,89260099,65351370
ArtGallery2,HUFFYUV,1.0575714806628849,0.2822575569152832,89260099,84401008
ArtGallery2,UTVIDEO,1.089838661323085,0.3688805103302002,89260099,81902122
Dragons,HEVC,1.804583257058885,3.5505309104919434,11799966,6538887
Dragons,VP9,1.4508838736251914,10.277666568756104,11799966,8132950
Dragons,AV1,1.5148791084474267,251.60206961631775,11799966,7789378
Dragons,FFV1,1.3294792595004523,0.4413795471191406,11799966,8875630
Dragons,HUFFYUV,0.7477849658286635,0.12711453437805176,11799966,15779892
Dragons,UTVIDEO,0.8825794910972156,0.14713311195373535,11799966,13369862
OpEx,HEVC,1.1306222737252365,47.13427448272705,73800556,65274281
OpEx,VP9,1.0947916421743495,56.67108702659607,73800556,67410595
OpEx,AV1,1.240318379598429,2519.933473110199,73800556,59501300
OpEx,FFV1,1.5968551796982988,7.924012184143066,73800556,46216186
OpEx,HUFFYUV,0.4249846476892296,5.355532646179199,73800556,173654640
OpEx,UTVIDEO,0.6765794899644857,5.19981837272644,73800556,109078914


