LE COMPRESSIONI SI RIFERISCONO A TUTTI I DATASET E AI NOSTRI CODEC

Dataset,Algoritmo,Rapporto compressione,Tempo compressione,Dimensione iniziale,Dimensione finale
ArtGallery2,FLV1,252.34320163969184,0.43512940406799316,89260099,353725
ArtGallery2,CLJR,1.2784429098245007,0.38034629821777344,89260099,69819386
ArtGallery2,MPEG4,328.6284911676129,0.37256574630737305,89260099,271614
ArtGallery2,MJPEG,32.10824957355716,0.6876242160797119,89260099,2779974
ArtGallery2,ProRes,2.1607662795923406,2.6784346103668213,89260099,41309465
ArtGallery2,MagicYUV,1.0357474623519096,0.37233781814575195,89260099,86179404
ArtGallery2,FFVHUFF,1.0575714806628849,0.31328463554382324,89260099,84401008
ArtGallery2,LCL,0.7559617759184079,1.427297830581665,89260099,118074884
ArtGallery2_random,FLV1,126.10333087041718,0.47542858123779297,89260099,707833
ArtGallery2_random,CLJR,1.2784429098245007,0.3363053798675537,89260099,69819386
ArtGallery2_random,MPEG4,182.97077923409,0.3713371753692627,89260099,487838
ArtGallery2_random,MJPEG,32.12655494728962,0.5424933433532715,89260099,2778390
ArtGallery2_random,ProRes,2.1607662795923406,2.7515013217926025,89260099,41309465
ArtGallery2_random,MagicYUV,1.0357474623519096,0.3633298873901367,89260099,86179404
ArtGallery2_random,FFVHUFF,1.0575714806628849,0.2802541255950928,89260099,84401008
ArtGallery2_random,LCL,0.7559617759184079,1.4423120021820068,89260099,118074884
Blob,FLV1,151.2169964996928,0.43739819526672363,53655722,354826
Blob,CLJR,0.7684931803897559,0.3443143367767334,53655722,69819386
Blob,MPEG4,192.18766834775633,0.37233829498291016,53655722,279184
Blob,MJPEG,22.96005590273677,0.5605087280273438,53655722,2336916
Blob,ProRes,1.335842657155585,2.354144334793091,53655722,40166199
Blob,MagicYUV,0.9651749142156236,0.3563249111175537,53655722,55591708
Blob,FFVHUFF,0.8233617998411458,0.2522306442260742,53655722,65166640
Blob,LCL,0.681831082259961,1.1530499458312988,53655722,78693570
Blob_random,FLV1,38.39168652828053,0.455416202545166,53655722,1397587
Blob_random,CLJR,0.7684931803897559,0.3323018550872803,53655722,69819386
Blob_random,MPEG4,75.07993025937245,0.351320743560791,53655722,714648
Blob_random,MJPEG,22.96778090260388,0.5244777202606201,53655722,2336130
Blob_random,ProRes,1.335842657155585,2.200004816055298,53655722,40166199
Blob_random,MagicYUV,0.9651749142156236,0.37734365463256836,53655722,55591708
Blob_random,FFVHUFF,0.8233617998411458,0.2702455520629883,53655722,65166640
Blob_random,LCL,0.681831082259961,1.1480467319488525,53655722,78693570
Car,FLV1,181.8357396483592,0.36533164978027344,63500677,349220
Car,CLJR,0.9094992184548859,0.3162863254547119,63500677,69819386
Car,MPEG4,214.74696313831586,0.30014681816101074,63500677,295700
Car,MJPEG,24.035369467003385,0.5945391654968262,63500677,2641968
Car,ProRes,1.582404098238387,2.5403082370758057,63500677,40129242
Car,MagicYUV,1.1265963789201054,0.38434743881225586,63500677,56365064
Car,FFVHUFF,0.9703861031922336,0.326296329498291,63500677,65438568
Car,LCL,0.8970702027789328,1.925750970840454,63500677,70786742
Car_random,FLV1,63.58448134641458,16.581475734710693,63500677,998682
Car_random,CLJR,0.9094992184548859,0.3165454864501953,63500677,69819386
Car_random,MPEG4,94.75704701391645,0.3112833499908447,63500677,670142
Car_random,MJPEG,24.045872598373077,0.5474975109100342,63500677,2640814
Car_random,ProRes,1.582404098238387,2.5713369846343994,63500677,40129242
Car_random,MagicYUV,1.1265963789201054,0.3763422966003418,63500677,56365064
Car_random,FFVHUFF,0.9703861031922336,0.28826189041137695,63500677,65438568
Car_random,LCL,0.8970702027789328,1.8255960941314697,63500677,70786742
Cobblestone,FLV1,182.21592435946977,0.558905839920044,102795656,564142
Cobblestone,CLJR,1.4723082211006553,0.34531283378601074,102795656,69819386
Cobblestone,MPEG4,211.3640879706545,0.42238306999206543,102795656,486344
Cobblestone,MJPEG,23.85901419114292,0.5865323543548584,102795656,4308462
Cobblestone,ProRes,2.502617415087204,3.963602066040039,102795656,41075258
Cobblestone,MagicYUV,0.9942542828055684,0.36533212661743164,102795656,103389704
Cobblestone,FFVHUFF,1.028786543832102,0.27324724197387695,102795656,99919324
Cobblestone,LCL,0.7251225032670336,1.0629663467407227,102795656,141763158
Cobblestone_random,FLV1,64.33429713687762,0.49138569831848145,102795656,1597836
Cobblestone_random,CLJR,1.4723082211006553,0.35732531547546387,102795656,69819386
Cobblestone_random,MPEG4,108.4351513514882,0.34731626510620117,102795656,947992
Cobblestone_random,MJPEG,23.85911387034391,0.5725197792053223,102795656,4308444
Cobblestone_random,ProRes,2.502617415087204,3.964603900909424,102795656,41075258
Cobblestone_random,MagicYUV,0.9942542828055684,0.3633296489715576,102795656,103389704
Cobblestone_random,FFVHUFF,1.028786543832102,0.2792544364929199,102795656,99919324
Cobblestone_random,LCL,0.7251225032670336,1.0909907817840576,102795656,141763158
Dice,FLV1,15.473120670402103,0.3243696689605713,3131543,202386
Dice,CLJR,0.25134209135258634,0.11210250854492188,3131543,12459286
Dice,MPEG4,17.873287749417834,0.12211084365844727,3131543,175208
Dice,MJPEG,4.970545379511761,0.1685488224029541,3131543,630020
Dice,ProRes,0.5831074517371857,0.5885355472564697,3131543,5370439
Dice,MagicYUV,0.43737122761148167,0.1361231803894043,3131543,7159920
Dice,FFVHUFF,0.2892456053559995,0.09708881378173828,3131543,10826588
Dice,LCL,0.9787607305896112,0.1511378288269043,3131543,3199498
Dice_random,FLV1,13.043965244339292,0.1781611442565918,3131543,240076
Dice_random,CLJR,0.25134209135258634,0.13412189483642578,3131543,12459286
Dice_random,MPEG4,14.842561521252797,0.15514159202575684,3131543,210984
Dice_random,MJPEG,5.024086082919144,0.16915321350097656,3131543,623306
Dice_random,ProRes,0.5831074517371857,0.6025466918945312,3131543,5370439
Dice_random,MagicYUV,0.4381091683384957,0.13312101364135742,3131543,7147860
Dice_random,FFVHUFF,0.2892456053559995,0.10009169578552246,3131543,10826588
Dice_random,LCL,0.9787607305896112,0.1461315155029297,3131543,3199498
Dragons,FLV1,52.111244579090084,0.14813518524169922,11799966,226438
Dragons,CLJR,0.9106717921686631,0.1211094856262207,11799966,12957430
Dragons,MPEG4,55.65811667484246,0.12911677360534668,11799966,212008
Dragons,MJPEG,12.455604087983263,0.18516898155212402,11799966,947362
Dragons,ProRes,1.693696660063623,0.8127386569976807,11799966,6966989
Dragons,MagicYUV,0.8715899131051899,0.1511368751525879,11799966,13538438
Dragons,FFVHUFF,0.7477849658286635,0.11610555648803711,11799966,15779892
Dragons,LCL,0.8619973353978473,0.25122833251953125,11799966,13689098
Dragons_random,FLV1,43.07940506440025,0.16710758209228516,11799966,273912
Dragons_random,CLJR,0.9106717921686631,0.12211108207702637,11799966,12957430
Dragons_random,MPEG4,46.14228287647128,0.13512372970581055,11799966,255730
Dragons_random,MJPEG,12.458628786694991,0.19417476654052734,11799966,947132
Dragons_random,ProRes,1.693696660063623,0.8217473030090332,11799966,6966989
Dragons_random,MagicYUV,0.8716009864187925,0.15413975715637207,11799966,13538266
Dragons_random,FFVHUFF,0.7477849658286635,0.11510467529296875,11799966,15779892
Dragons_random,LCL,0.8619973353978473,0.2802548408508301,11799966,13689098
Fish,FLV1,38.96578440094899,0.16733431816101074,7357987,188832
Fish,CLJR,0.5905624929068969,0.11810636520385742,7357987,12459286
Fish,MPEG4,40.740545718303935,0.12811541557312012,7357987,180606
Fish,MJPEG,8.866262354106468,0.18016457557678223,7357987,829886
Fish,ProRes,1.5584016167757,0.8037304878234863,7357987,4721496
Fish,MagicYUV,0.5058801973472525,0.1811656951904297,7357987,14544920
Fish,FFVHUFF,0.5183516388760753,0.126115083694458,7357987,14194972
Fish,LCL,0.7215154361234136,0.18616986274719238,7357987,10197962
Fish_random,FLV1,34.61279047887854,0.15338516235351562,7357987,212580
Fish_random,CLJR,0.5905624929068969,0.1161038875579834,7357987,12459286
Fish_random,MPEG4,35.55407534114191,0.136122465133667,7357987,206952
Fish_random,MJPEG,8.867416345094712,0.18616914749145508,7357987,829778
Fish_random,ProRes,1.5584016167757,0.7676982879638672,7357987,4721496
Fish_random,MagicYUV,0.5057238723533646,0.14513087272644043,7357987,14549416
Fish_random,FFVHUFF,0.5183516388760753,0.12511277198791504,7357987,14194972
Fish_random,LCL,0.7215154361234136,0.20718765258789062,7357987,10197962
Mannequin,FLV1,188.56148078283422,0.44058704376220703,79968924,424100
Mannequin,CLJR,1.1453684797514547,0.3463149070739746,79968924,69819386
Mannequin,MPEG4,226.55498076367365,0.3643312454223633,79968924,352978
Mannequin,MJPEG,24.138341087770325,0.599545955657959,79968924,3312942
Mannequin,ProRes,1.9583867221503841,2.6674253940582275,79968924,40834082
Mannequin,MagicYUV,0.9723799522006262,0.37462472915649414,79968924,82240408
Mannequin,FFVHUFF,0.9214780019258078,0.28826189041137695,79968924,86783324
Mannequin,LCL,0.7171289261633155,1.0189261436462402,79968924,111512618
Mannequin_random,FLV1,79.8864811514517,0.49259185791015625,79968924,1001032
Mannequin_random,CLJR,1.1453684797514547,0.30527806282043457,79968924,69819386
Mannequin_random,MPEG4,107.54235318798716,0.3543221950531006,79968924,743604
Mannequin_random,MJPEG,24.138093363791345,0.5865328311920166,79968924,3312976
Mannequin_random,ProRes,1.9583867221503841,2.6864421367645264,79968924,40834082
Mannequin_random,MagicYUV,0.9723799522006262,0.38434910774230957,79968924,82240408
Mannequin_random,FFVHUFF,0.9214780019258078,0.29827141761779785,79968924,86783324
Mannequin_random,LCL,0.7171289261633155,0.9944639205932617,79968924,111512618
Messerschmitt,FLV1,29.958341787390605,0.21401619911193848,8859161,295716
Messerschmitt,CLJR,0.711048851434986,0.11810779571533203,8859161,12459286
Messerschmitt,MPEG4,38.26487763581863,0.12911725044250488,8859161,231522
Messerschmitt,MJPEG,12.792901433344982,0.17415904998779297,8859161,692506
Messerschmitt,ProRes,1.1750072450168543,0.5695173740386963,8859161,7539665
Messerschmitt,MagicYUV,0.9738920543988911,0.19217491149902344,8859161,9096656
Messerschmitt,FFVHUFF,0.7535758262644175,0.14413213729858398,8859161,11756164
Messerschmitt,LCL,1.0041981953552228,0.2552320957183838,8859161,8822124
Messerschmitt_random,FLV1,24.30796943381213,0.2223527431488037,8859161,364455
Messerschmitt_random,CLJR,0.711048851434986,0.12711596488952637,8859161,12459286
Messerschmitt_random,MPEG4,29.915246739739718,0.15514087677001953,8859161,296142
Messerschmitt_random,MJPEG,12.910163855112677,0.20218443870544434,8859161,686216
Messerschmitt_random,ProRes,1.1750072450168543,0.5785253047943115,8859161,7539665
