Dataset,Algoritmo,Average SSIM,Average PSNR
ArtGallery2,FLV1,0.9170665785484114,33.605858908953465
ArtGallery2,CLJR,0.8463777388197518,34.97603280458055
ArtGallery2,MPEG4,0.9106662893458822,33.351881774832364
ArtGallery2,MJPEG,0.9256440499678129,34.945809234468165
ArtGallery2,ProRes,0.992451705722534,48.10047716483419
ArtGallery2,MagicYUV,1.0,inf
ArtGallery2,FFVHUFF,1.0,inf
ArtGallery2,LCL,1.0,inf
ArtGallery2_random,FLV1,0.9089861342802311,32.74701971154781
ArtGallery2_random,CLJR,0.8463562967398534,34.975269108552794
ArtGallery2_random,MPEG4,0.9004545565278333,32.37682182276129
ArtGallery2_random,MJPEG,0.9256307192114268,34.94203871091015
ArtGallery2_random,ProRes,0.9924517057225344,48.1004771648342
ArtGallery2_random,MagicYUV,1.0,inf
ArtGallery2_random,FFVHUFF,1.0,inf
ArtGallery2_random,LCL,1.0,inf
Blob,FLV1,0.9017332400156662,35.26271883530535
Blob,CLJR,0.8560817026731604,35.100357292825294
Blob,MPEG4,0.8933361271643953,34.818086211954935
Blob,MJPEG,0.93018773983074,37.43822171525875
Blob,ProRes,0.9987362266309959,56.568312648608874
Blob,MagicYUV,1.0,inf
Blob,FFVHUFF,1.0,inf
Blob,LCL,1.0,inf
Blob_random,FLV1,0.8805822670772585,33.92305510805841
Blob_random,CLJR,0.8560834127089116,35.100543410394536
Blob_random,MPEG4,0.8642865629973625,33.13681927927153
Blob_random,MJPEG,0.930094463722536,37.43195882178235
Blob_random,ProRes,0.9987362266309961,56.568312648608874
Blob_random,MagicYUV,1.0,inf
Blob_random,FFVHUFF,1.0,inf
Blob_random,LCL,1.0,inf
Car,FLV1,0.9300824607594794,33.85634627370894
Car,CLJR,0.8374046185933358,34.93785406745596
Car,MPEG4,0.9236229889789999,33.56186392014305
Car,MJPEG,0.9437178291288254,35.055278895896386
Car,ProRes,0.9976839477138473,52.97888168209204
Car,MagicYUV,1.0,inf
Car,FFVHUFF,1.0,inf
Car,LCL,1.0,inf
Car_random,FLV1,0.9131611254018698,32.541753285942285
Car_random,CLJR,0.8374004993022272,34.93774450033076
Car_random,MPEG4,0.9020249432430777,32.053891134983125
Car_random,MJPEG,0.9437525047212523,35.05269192235623
Car_random,ProRes,0.9976839477138473,52.978881682092066
Car_random,MagicYUV,1.0,inf
Car_random,FFVHUFF,1.0,inf
Car_random,LCL,1.0,inf
Cobblestone,FLV1,0.8130760477762276,28.567136252658575
Cobblestone,CLJR,0.9108833919072401,34.905716707938055
Cobblestone,MPEG4,0.809162248644063,28.486106351506777
Cobblestone,MJPEG,0.8418220131488311,29.005837828768158
Cobblestone,ProRes,0.9922257514121494,41.25272155237761
Cobblestone,MagicYUV,1.0,inf
Cobblestone,FFVHUFF,1.0,inf
Cobblestone,LCL,1.0,inf
Cobblestone_random,FLV1,0.7834927093299512,27.515229719151645
Cobblestone_random,CLJR,0.9108936944802505,34.906191787012375
Cobblestone_random,MPEG4,0.7748033264394046,27.295227667084
Cobblestone_random,MJPEG,0.8419698187757617,29.006059030091166
Cobblestone_random,ProRes,0.9922257514121496,41.252721552377615
Cobblestone_random,MagicYUV,1.0,inf
Cobblestone_random,FFVHUFF,1.0,inf
Cobblestone_random,LCL,1.0,inf
Dice,FLV1,0.9489066852063717,34.732924796242614
Dice,CLJR,0.8146628567211662,35.24844048370243
Dice,MPEG4,0.9478546161344569,34.67940225990489
Dice,MJPEG,0.9570900168046163,36.753500084603296
Dice,ProRes,0.998190672625919,52.1756041199333
Dice,MagicYUV,1.0,inf
Dice,FFVHUFF,1.0,inf
Dice,LCL,1.0,inf
Dice_random,FLV1,0.9470183311604644,34.54881483382558
Dice_random,CLJR,0.8146943869854318,35.2480942555234
Dice_random,MPEG4,0.9447880901891266,34.55649659338812
Dice_random,MJPEG,0.9572781251308397,36.673116147387844
Dice_random,ProRes,0.998190672625919,52.175604119933304
Dice_random,MagicYUV,1.0,inf
Dice_random,FFVHUFF,1.0,inf
Dice_random,LCL,1.0,inf
Dragons,FLV1,0.9037055410867411,32.88721491242306
Dragons,CLJR,0.8831977515489998,35.45618037730077
Dragons,MPEG4,0.9010420382236146,32.77862686774971
Dragons,MJPEG,0.9020834603649905,32.88015791234848
Dragons,ProRes,0.991042262710327,44.41821974493444
Dragons,MagicYUV,1.0,inf
Dragons,FFVHUFF,1.0,inf
Dragons,LCL,1.0,inf
Dragons_random,FLV1,0.8995289118685476,32.60073881106681
Dragons_random,CLJR,0.883172246714859,35.45636896077972
Dragons_random,MPEG4,0.8964044158964601,32.491503970988425
Dragons_random,MJPEG,0.9019820817933927,32.87635529163163
Dragons_random,ProRes,0.991042262710327,44.41821974493444
Dragons_random,MagicYUV,1.0,inf
Dragons_random,FFVHUFF,1.0,inf
Dragons_random,LCL,1.0,inf
Fish,FLV1,0.9597111780081937,35.213635031370856
Fish,CLJR,0.9719716732327259,39.84029915842099
Fish,MPEG4,0.959034978453528,35.13256755906007
Fish,MJPEG,0.9584586513271037,35.093321142213895
Fish,ProRes,0.9960518540402131,45.35565414103537
Fish,MagicYUV,1.0,inf
Fish,FFVHUFF,1.0,inf
Fish,LCL,1.0,inf
Fish_random,FLV1,0.9569988030188437,34.746769554094364
Fish_random,CLJR,0.971931813383944,39.836762028879896
Fish_random,MPEG4,0.9559780598723809,34.6189417438453
Fish_random,MJPEG,0.9583751926546207,35.08412548447882
Fish_random,ProRes,0.9960518540402131,45.35565414103537
Fish_random,MagicYUV,1.0,inf
Fish_random,FFVHUFF,1.0,inf
Fish_random,LCL,1.0,inf
Mannequin,FLV1,0.8536402852293893,30.766819333618535
Mannequin,CLJR,0.8806251604130099,35.29150343768979
Mannequin,MPEG4,0.8475564276411534,30.64680735230045
Mannequin,MJPEG,0.8837212264409593,31.992056943334163
Mannequin,ProRes,0.9964135243099381,47.9068816767084
Mannequin,MagicYUV,1.0,inf
Mannequin,FFVHUFF,1.0,inf
Mannequin,LCL,1.0,inf
Mannequin_random,FLV1,0.8272854402766223,29.55994238884748
Mannequin_random,CLJR,0.8806305847996218,35.29153093307346
Mannequin_random,MPEG4,0.8191151519316675,29.416987168651307
Mannequin_random,MJPEG,0.8836992620836331,31.99149335446701
Mannequin_random,ProRes,0.9964135243099381,47.9068816767084
Mannequin_random,MagicYUV,1.0,inf
Mannequin_random,FFVHUFF,1.0,inf
Mannequin_random,LCL,1.0,inf
Messerschmitt,FLV1,0.8528938154372899,32.64183552483948
Messerschmitt,CLJR,0.8829530230358438,34.99305796652071
Messerschmitt,MPEG4,0.8519630394277543,32.596501335332334
Messerschmitt,MJPEG,0.8747084373511946,33.75783205935636
Messerschmitt,ProRes,0.9964431713316162,50.284169992993256
Messerschmitt,MagicYUV,1.0,inf
Messerschmitt,FFVHUFF,1.0,inf
Messerschmitt,LCL,1.0,inf
Messerschmitt_random,FLV1,0.8373866989249824,32.09671052360639
Messerschmitt_random,CLJR,0.8829813554862342,34.99289866889487
Messerschmitt_random,MPEG4,0.8313429074035769,31.930963100677626
Messerschmitt_random,MJPEG,0.8734384786242287,33.75511457809407
Messerschmitt_random,ProRes,0.9964431713316163,50.28416999299325
Messerschmitt_random,MagicYUV,1.0,inf
Messerschmitt_random,FFVHUFF,1.0,inf
Messerschmitt_random,LCL,1.0,inf
OpEx,FLV1,0.9754413022269377,41.34342200045364
OpEx,MPEG4,0.9681760443395099,40.46271820507524
OpEx,MJPEG,0.9849485876597981,47.426525440241114
OpEx,ProRes,0.9986651836566844,58.53597797451777
OpEx,MagicYUV,0.9990628633198031,inf
OpEx,FFVHUFF,0.9990628633198031,inf
OpEx,LCL,0.9990628633198031,inf
OpEx_random,FLV1,0.9755542156722455,41.99738680652672
OpEx_random,MPEG4,0.964461369022352,40.28480395995998
OpEx_random,MJPEG,0.9846682328519156,47.37852405428037
OpEx_random,ProRes,0.9987518926939226,58.788605376700474
OpEx_random,MagicYUV,0.9991527006392618,inf
OpEx_random,FFVHUFF,0.9991527006392618,inf
OpEx_random,LCL,0.9991527006392618,inf






